timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Solihull Moors,Forest Green Rovers,N/A,1,0.00,0.00,0.50,2.00,2,2,4,1,1,0,"75,15","60,54",3,20,2,1,0,0,2,1,0,0,4,25,3,8,1,17,9,8,25,75,0.00,0.00,0.63,2.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.25,2.17,1.30,1.88,3.20,6.00,1.81,1.95,Damson Park
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Yeovil Town,Hartlepool United,N/A,1,0.00,0.00,2.00,2.00,0,0,0,0,0,0,"","",7,4,3,0,2,0,0,3,2,0,9,8,3,2,6,6,10,12,50,50,0.00,0.00,0.97,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.33,2.65,1.30,2.00,3.50,6.00,1.75,2.00,Huish Park Stadium
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Altrincham,Aldershot Town,N/A,1,0.00,0.00,1.50,1.50,3,2,5,2,2,0,"10,24,78","56,76",3,5,5,0,3,0,1,4,0,3,10,15,7,5,3,10,15,23,36,64,0.00,0.00,1.51,1.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.94,3.50,1.14,1.57,2.40,4.40,1.50,2.35,The J. Davidson Stadium
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,York City,Sutton United,N/A,1,0.00,0.00,1.00,0.50,2,2,4,2,1,1,"11,58","87,38",6,4,1,0,1,0,0,1,0,1,20,6,5,4,15,2,10,13,69,31,0.00,0.00,2.05,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.33,4.20,1.20,1.65,2.56,4.75,1.67,2.00,N/A
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Boreham Wood,Rochdale,N/A,1,0.00,0.00,1.50,1.50,0,2,2,0,0,0,"","49,52",3,2,0,0,3,0,0,0,1,2,11,11,0,4,11,7,8,16,38,62,0.00,0.00,1.25,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.10,2.43,1.28,2.00,3.45,6.50,1.75,1.95,Colney Training Centre
1754748000,Aug 09 2025 - 2:00pm,suspended,N/A,Boston United,Morecambe,N/A,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,3.47,3.27,1.33,2.07,3.40,7.30,1.78,1.91,The Jakemans Stadium
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Gateshead,Southend United,N/A,1,0.00,0.00,1.50,3.00,0,3,3,1,0,1,"","3,56,54",0,6,1,0,1,0,0,1,1,0,3,17,0,6,3,11,6,13,57,43,0.00,0.00,0.30,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.40,2.10,1.25,1.73,2.90,5.25,1.65,2.10,Gateshead International Stadium
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Braintree Town,Halifax Town,N/A,1,0.00,0.00,3.00,1.00,3,0,3,2,2,0,"3,33,69","",1,7,4,0,3,0,0,4,0,3,9,10,3,3,6,7,13,6,39,61,0.00,0.00,1.02,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,3.25,1.34,2.04,3.60,6.75,1.70,1.85,Ironmongery Direct Stadium
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Tamworth,Scunthorpe United,N/A,1,0.00,0.00,1.50,3.00,1,2,3,3,1,2,"36","4,43",5,2,2,0,2,0,2,0,1,1,7,7,3,4,4,3,11,13,51,49,0.00,0.00,0.93,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,3.30,3.00,1.25,1.80,2.92,5.65,1.65,2.05,The Lamb Ground
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Woking,Carlisle United,N/A,1,0.00,0.00,0.00,3.00,0,2,2,0,0,0,"","57,81",1,11,3,0,2,0,1,2,1,1,6,17,0,6,6,11,10,10,55,45,0.00,0.00,0.75,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.25,2.10,1.29,1.95,3.20,5.80,1.75,1.95,N/A
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Brackley Town,Eastleigh,N/A,1,0.00,0.00,3.00,1.50,1,0,1,1,1,0,"40","",6,4,1,0,2,0,0,1,1,1,17,6,7,3,10,3,13,16,47,53,0.00,0.00,1.80,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.20,3.36,1.27,1.91,3.14,6.25,1.70,1.95,N/A
1754748000,Aug 09 2025 - 2:00pm,complete,N/A,Wealdstone,Truro City,N/A,1,0.00,0.00,2.00,0.00,2,0,2,1,1,0,"35,85","",8,2,1,0,0,0,1,0,0,0,10,4,5,0,5,4,9,11,56,44,0.00,0.00,1.24,0.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.30,2.78,1.26,1.80,3.13,5.90,1.68,2.00,N/A
1755343800,Aug 16 2025 - 11:30am,complete,N/A,Rochdale,Altrincham,N/A,2,0.00,0.00,3.00,0.00,2,1,3,2,1,1,"35,60","19",5,2,0,0,3,0,0,0,1,2,11,9,4,4,7,5,12,13,52,48,0.00,0.00,1.38,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.55,3.70,1.25,1.75,2.95,5.25,1.67,2.03,Crown Oil Arena
1755352800,Aug 16 2025 - 2:00pm,complete,N/A,Forest Green Rovers,Yeovil Town,N/A,2,0.00,0.00,3.00,0.00,2,0,2,0,0,0,"75,90'2","",15,1,1,0,4,1,0,1,2,3,24,2,6,0,18,2,11,16,62,38,0.00,0.00,2.74,0.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.70,4.20,1.30,2.05,3.30,6.65,1.91,1.76,The New Lawn
1755352800,Aug 16 2025 - 2:00pm,complete,N/A,Scunthorpe United,Woking,N/A,2,0.00,0.00,3.00,0.00,3,1,4,2,2,0,"24,16,69","82",2,5,2,0,2,0,1,1,0,2,15,10,8,1,7,9,17,13,37,63,0.00,0.00,1.87,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.65,3.50,1.29,1.90,3.10,6.10,1.75,1.87,Glanford Park
